date,price_se3,price_se4,elec_price_avg,elec_price_index,elec_price_yoy
2023-01-31,554.874375,613.23875,584.0565624999999,125.19302559945842,
2023-02-28,526.9991666666666,555.8033333333334,541.40125,116.04982274440036,
2023-03-31,607.8478947368421,674.8947368421053,641.3713157894738,137.47849217324725,
2023-04-30,540.5513043478261,589.645652173913,565.0984782608696,121.12934396679782,
2023-05-31,343.18038461538464,662.2261538461539,502.70326923076925,107.75487734330378,
2023-06-30,341.8527272727273,693.3790909090909,517.6159090909091,110.95141450020971,
2023-07-31,376.5067741935484,417.56548387096774,397.03612903225803,85.10503512379482,
2023-08-31,237.9903846153846,363.7611538461539,300.87576923076927,64.49297944420313,
2023-09-30,198.4536,373.8932,286.1734,61.34151397722556,
2023-10-31,258.6653571428571,279.6014285714286,269.13339285714284,57.688973816869634,
2023-11-30,517.4031578947369,552.2610526315789,534.8321052631579,114.64172093027854,
2023-12-31,453.68950000000007,462.31149999999997,458.0005,98.17280038021106,
2024-01-31,611.3819047619048,632.162380952381,621.7721428571429,133.27739262880795,6.457521887213247
2024-02-29,485.69642857142856,538.2285714285714,511.9625,109.73960140797618,-5.437510534007828
2024-03-31,594.6290322580645,633.4796774193549,614.0543548387097,131.62307814113728,-4.259149150931263
2024-04-30,438.3120833333333,501.15000000000003,469.73104166666667,100.68725205743283,-16.876250824051574
2024-05-31,237.13741935483873,505.77870967741933,371.458064516129,79.62235503533618,-26.107887644229987
2024-06-30,248.0823076923077,564.8619230769231,406.4721153846154,87.12764689945963,-21.472252253895373
2024-07-31,205.7756666666667,413.07533333333333,309.4255,66.32562157475155,-22.066160388426493
2024-08-31,74.71629629629629,373.22814814814814,223.97222222222223,48.00863811924767,-25.55990042174603
2024-09-30,147.3962962962963,194.6162962962963,171.00629629629628,36.65534642441552,-40.24381850434169
2024-10-31,214.13000000000002,232.58172413793102,223.3558620689655,47.87652079123605,-17.00923482671517
2024-11-30,265.52642857142854,336.62857142857143,301.0775,64.53622060777879,-43.706165535470575
2024-12-31,335.5244,376.1348,355.8296,76.27238024886512,-22.308032414811773
2025-01-31,460.3930434782609,540.6504347826086,500.52173913043475,107.28726449339739,-19.500777755906352
2025-02-28,479.4771428571429,695.3042857142857,587.3907142857142,125.90770389718135,14.733152190973819
2025-03-31,310.0595652173913,400.46304347826083,355.26130434782607,76.1505655879252,-42.14497437427334
2025-04-30,343.04928571428576,546.2807142857143,444.6650000000001,95.31432450634128,-5.3362540354431225
2025-05-31,367.91035714285715,550.4635714285714,459.1869642857143,98.42712001846402,23.61744383820641
2025-06-30,227.84733333333332,407.009,317.4281666666667,68.04100004524676,-21.90653315386536
2025-07-31,370.12967741935483,463.6629032258064,416.8962903225806,89.36207774683483,34.732363791148636
2025-08-31,357.2269565217391,594.8313043478262,476.02913043478264,102.03725279194973,112.53936122599745
2025-09-30,412.8465217391305,551.4226086956521,482.1345652173913,103.3459579792747,181.93965699485975
2025-10-31,472.84999999999997,544.51625,508.683125,109.03666456129841,127.74558961113551
2025-11-30,443.9368181818182,540.1013636363637,492.0190909090909,105.46471454741008,63.4194155687791
2025-12-31,566.29,671.0,618.645,132.6070868726468,73.85990372920071
